,smiles,cone_angle
641,CCC(C)N(CC(=O)[O-])C(=O)c1ccc(Cn2nc(C)cc2C)cc1,0.8641326122222222
642,COC(C(=O)NCC(=O)[O-])c1ccccc1,0.4484029551666667
643,O=C(N[C@@H](Cc1ccccc1)C(=O)[O-])c1ccc([N+](=O)[O-])cc1,0.6023461405555556
645,CS(=O)(=O)c1ccc(-n2nc(C(=O)[O-])cc2-c2ccc(F)cc2)cc1,0.6584771666666667
677,O=C([O-])CCCCOc1ccc2ccc(=O)oc2c1,0.5226224286111111
707,C=C(C)CC1(C(=O)[O-])CCc2ccccc2N1C(=O)c1ccc(C(C)(C)C)c(OC)c1,0.7868058061111111
678,COCCOCOC[C@H](C[C@H](COCCOC)C(=O)[O-])NC(=O)c1ccc(C#N)cc1,0.67586101
710,O=C([O-])CCCc1c(O)cc(F)cc1F,0.5353980227222223
711,CC(C)CN(CC(=O)[O-])C(=O)NCCc1ccsc1,0.7249145355555555
712,O=C([O-])Cc1ccc(N2C(=O)c3c(Cl)ccc(OCc4cccc(Cl)c4)c3C2=O)c(F)c1,0.5276463162222222
713,O=C([O-])C1(C(O)c2ccc(Br)s2)CC1,0.65042777
714,COC(=O)C(C)NC(=O)N1CCSCC1CC(=O)[O-],0.78404085
715,CC1CCC(C)N1C(=O)c1ccc(C(=O)[O-])cc1F,0.6332608444444444
716,COc1cc(/C(C)=C/C(C)=C\C(=O)[O-])oc(=O)c1C,0.4872888692222222
717,CCC(C)N(Cc1ccccc1OCCCCCC(=O)[O-])C(=O)c1ccc(Br)cc1,1.2267378344444444
718,CCOc1cccc(C(C(=O)[O-])N2CCCCC2C)c1O,0.6457328155555556
719,CCCCCNC(=O)C(C)SCC(NC(C)=O)C(=O)[O-],0.7240264972222222
720,CC(C)C[C@H](NC(=O)c1cnn(C(C)C)c1)C(=O)[O-],0.5842608555555556
721,Cc1cc(Cl)cc(CN2CCC(C(=O)[O-])CC2)c1OCc1ccccc1,0.49111236994444446
722,CCNC(=O)c1sc2c(c1C)c(=O)n(C(C)(C)C(=O)[O-])c(=O)n2CCc1c(OC)cccc1C1CCCCC1,1.01597498
723,O=C(c1ccco1)c1cnc(C2CCCCC2)nc1C(=O)[O-],0.9005388427777777
724,CC(C)(C)C(=O)COc1cc(C(=O)NC(CC(=O)[O-])c2ccccc2Cl)nn1-c1ccccc1F,0.8439998127777778
725,CC(C)(C)ON(C=O)[C@H](Cc1ccc(O)cc1)C(=O)[O-],0.6870150205555555
726,O=C([O-])c1c(Br)cnc2cc3c(cc12)OCO3,0.6381042888888889
727,O=C([O-])c1cccc(F)c1OCc1nccs1,0.8306678366666668
728,O=C([O-])c1nccnc1C(=O)N1CCN(c2ccc(Cl)cn2)CC1,0.6070742188888889
729,CC(C)(C)SCC(=O)N1C[C@@H](C(=O)[O-])[C@H](c2ccc(Cl)cc2)C1,0.6759760766666667
730,Cc1cccc(C[C@H]2CCCCC/C=C/[C@@H]3C[C@@]3(C(=O)[O-])CC(=O)[C@@H]3C[C@@H](Oc4nc5ccc(Br)cc5s4)CN3C2=O)c1,0.7194363855555556
731,C[C@H](CC1(C(=O)[O-])CN2C(=O)[C@H](CO)[C@H]2S1)n1cnnn1,0.6966301605555556
732,COC(C)(C)C12C[C@@H]3C[C@@H](CC(C(=O)[O-])(C3)C1)C2,0.6229409466666667
733,Cc1ccc(S(=O)(=O)N2CCN(c3nc4ccccc4s3)CC2)cc1CC(=O)[O-],0.7262265227777778
734,CCCNC(=O)C(C)NC(=O)c1ccc(C(=O)[O-])o1,0.6302729016666666
735,CN(C)CCCC1=C(C(=O)[O-])N2C(=O)C[C@H]2S1,0.5810553122222223
736,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@H]12)c1ccc(O)c([N+](=O)[O-])c1,1.1806124438888888
709,[N-]=[N+]=Nn1cc(C(=O)[O-])cn1,0.6144464033333333
737,CC(C)(/C=C/C(=O)[O-])Cc1cccc(F)c1,0.48305736788888887
708,CN1CCN(S(=O)(=O)Cc2cccc(C(=O)[O-])c2)CC1=O,0.8710154472222222
